Region code;Region name (sourced);Item code;Item name (sourced);Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
RO03 approx.;RO113 - Cluj;1554;Total population;total / number;723939;721874;693304;685755;686186;697118;683550;693691;692021;690590;692339;694136;693608;697457;698929;;
RO08 approx.;RO122 - Brasov;1554;Total population;total / number;629792;627800;595742;595522;596571;595647;595736;592399;596467;596853;598208;598813;549519;550713;550765;;
RO02 approx.;RO213 - Iasi;1554;Total population;total / number;836255;840929;804812;814978;821891;813505;814198;813731;818929;823388;824780;821952;772979;775165;780948;;
RO10 approx.;RO221 - Braila;1554;Total population;total / number;386381;385516;376973;375205;373560;370941;369503;366811;363979;361414;359119;356653;319674;315598;312089;;
RO05 approx.;RO223 - Constanta;1554;Total population;total / number;746502;747103;713871;713921;713873;714923;716127;717323;719727;721896;723696;724671;683866;684458;684257;;
RO07 approx.;RO224 - Galati;1554;Total population;total / number;643531;643828;627267;624131;621956;621208;619090;616054;613509;611040;609398;606823;534577;530914;527979;;
RO09 approx.;RO316 - Prahova;1554;Total population;total / number;856961;855707;838066;834445;831033;829253;825389;822081;819600;817092;814689;811479;761699;756635;752322;;
RO06 approx.;RO411 - Dolj;1554;Total population;total / number;745328;743740;732520;727758;722823;720857;716713;713873;710669;707629;704436;700431;659016;654456;650548;;
RO04 approx.;RO424 - Timis;1554;Total population;total / number;689765;689219;661989;662209;659512;659333;659299;665956;673212;676360;678795;678347;685821;690763;693104;;
RO10;Braila;1554;Total population - ESPON;total / number;;216292;;;;;206775;;;;;;;;;;
RO08;Brasov;1554;Total population - ESPON;total / number;;284596;;;;;270366;;;;;;;;;;
RO03;Cluj-napoca;1554;Total population - ESPON;total / number;;317953;;;;;305553;;;;;;;;;;
RO05;Constanta;1554;Total population - ESPON;total / number;;323605;;;;;310337;;;;;;;;;;
RO06;Craiova;1554;Total population - ESPON;total / number;;302601;;;;;292010;;;;;;;;;;
RO07;Galati;1554;Total population - ESPON;total / number;;298861;;;;;286907;;;;;;;;;;
RO02;Iasi;1554;Total population - ESPON;total / number;;320888;;;;;313187;;;;;;;;;;
RO09;Ploiesti;1554;Total population - ESPON;total / number;;232527;;;;;223458;;;;;;;;;;
RO04;Timisoara;1554;Total population - ESPON;total / number;;317660;;;;;307495;;;;;;;;;;
;Basel-Stadt;1554;Total population;total / number;188458;187422;186469;186719;186653;186753;185601;184822;185227;186672;187898;184950;186255;187425;;;
