RegionCode;Region/CityName;CountryName;CountryCode;ProductID;ProductName;Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
R032;Austria;Tirol;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;56597;59008;61141;63350;64996;66431;67729;;
R033;Austria;Vorarlberg;AT;2666;Passenger cars in use;number;;;;;;;;;178818;181867;185857;189537;193388;195859;198998;;
R033;Austria;Vorarlberg;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;16116;16234;16650;17050;17389;17658;18086;;
R033;Austria;Vorarlberg;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;33903;35035;36119;37262;38237;38717;39575;;
R034;Austria;Wien;AT;2666;Passenger cars in use;number;;;;;;;;;657192;663926;669279;674526;679492;681413;683258;;
R034;Austria;Wien;AT;2667;Commercial Vehicles in Use;number;;;;;;;;;61488;61651;62011;63119;63873;64477;64804;;
R034;Austria;Wien;AT;2668;Motorcycles and Mopeds in Use;number;;;;;;;;;73820;75888;77507;79137;81325;82530;83560;;
BU02 approx.;Bulgaria;Plovdiv;BU;2000;For estimating: Total motor vehicles;number;;;;;;;;;;;289165;298808;310545;322046;;;
AJ;Azerbaijan;Total;AJ;2666;Passenger cars in use;number;332026;342958;350559;400439;438964;479447;548979;616853;700080;759203;815683;871449;958594;1048806;1100124;;
AJ;Azerbaijan;Total;AJ;2667;Commercial Vehicles in Use;number;95322;94417;94350;97800;101909;117587;124869;138483;142428;147363;148029;151371;159666;163971;172069;;
BU03 approx.;Bulgaria;Varna;BU;2000;For estimating: Total motor vehicles;number;;;;;;;;;;;211697;218028;226286;234951;;;
BU04 approx.;Bulgaria;Burgas;BU;2000;For estimating: Total motor vehicles;number;;;;;;;;;;;173975;177635;183814;191672;;;
AJ01;Azerbaijan;Baku;AJ;2667;Commercial Vehicles in Use;number;23018;24971;24606;28355;32461;41796;47094;53131;62427;67122;69672;74648;79872;78893;82553;;
AJ02;Azerbaijan;Ganja;AJ;2000;For estimating: Total motor vehicles;number;17895;17920;18905;22705;22253;24848;27087;30360;32826;35207;34530;37750;40920;43872;41672;;
AJ02;Azerbaijan;Ganja;AJ;2666;Passenger cars in use;number;13984;14198;15142;18804;17951;19991;22395;25425;28145;30262;30152;32234;35089;37760;35770;;
AJ02;Azerbaijan;Ganja;AJ;2667;Commercial Vehicles in Use;number;3418;3146;3225;3228;3597;4171;4060;4353;4238;4266;3873;5242;5540;5786;5501;;
BU05 approx.;Bulgaria;Ruse;BU;2000;For estimating: Total motor vehicles;number;;;;;;;;;;;109180;121119;134325;146766;;;
R001;Azerbaijan;Absheron;AJ;2666;Passenger cars in use;number;16005;15607;15547;15824;16645;17403;19109;19239;21709;24416;26097;28882;34945;42861;48264;;
R001;Azerbaijan;Absheron;AJ;2667;Commercial Vehicles in Use;number;4585;4942;5046;5018;5347;5936;5980;6263;6437;6696;6522;6529;7423;7945;8477;;
BU06 approx.;Bulgaria;Stara Zagora;BU;2000;For estimating: Total motor vehicles;number;;;;;;;;;;;139004;142526;146882;151607;;;
R001;Azerbaijan;Absheron;AJ;2000;For estimating: Total motor vehicles;number;21206;21146;21204;21431;22602;23966;25792;26374;28908;31888;33405;35870;42911;51479;57548;;
R002;Azerbaijan;Aran;AJ;2666;Passenger cars in use;number;60872;62355;62652;61637;60199;60273;61281;63648;66767;70523;73616;73488;80539;92151;106385;;
BU07 approx.;Bulgaria;Pleven;BU;2000;For estimating: Total motor vehicles;number;;;;;;;;;;;97590;100459;103633;107149;;;
R002;Azerbaijan;Aran;AJ;2667;Commercial Vehicles in Use;number;17059;17848;18149;17664;17886;18782;18934;21414;19522;19416;19532;17322;17336;18579;19957;;
R002;Azerbaijan;Aran;AJ;2000;For estimating: Total motor vehicles;number;80705;82693;83151;81894;80444;81163;82345;87171;88538;92152;95404;92013;98962;111978;127900;;
CA05_1;Canada;Calgary;CA;2000;For estimating: Total motor vehicles;number;;;;705448;724966;768376;816635;859125;876118;887317;903744;934356;976677;1018426;1055178;;
